folder,image,seed,auto_count
K0_incid,18,40,22
K0_incid,18,41,22
K0_incid,18,42,22
K0_incid,18,43,22
K0_incid,18,44,22
K0_incid,18,45,22
K0_incid,18,46,22
K0_incid,18,47,22
K0_incid,18,48,22
K0_incid,18,49,22
K0_incid,18,50,22
K0_incid,18,51,22
K0_incid,18,52,22
K0_incid,18,53,22
K0_incid,18,54,22
K0_incid,18,55,22
K0_incid,18,56,22
K0_incid,18,57,22
K0_incid,18,58,22
K0_incid,18,59,22
K0_incid,18,60,22
K0_incid,19,1,256
K0_incid,19,2,168
K0_incid,19,3,42
K0_incid,19,4,22
K0_incid,19,5,16
K0_incid,19,6,16
K0_incid,19,7,16
K0_incid,19,8,16
K0_incid,19,9,16
K0_incid,19,10,16
K0_incid,19,11,15
K0_incid,19,12,15
K0_incid,19,13,15
K0_incid,19,14,15
K0_incid,19,15,15
K0_incid,19,16,15
K0_incid,19,17,15
K0_incid,19,18,15
K0_incid,19,19,15
K0_incid,19,20,15
K0_incid,19,21,15
K0_incid,19,22,15
K0_incid,19,23,15
K0_incid,19,24,15
K0_incid,19,25,15
K0_incid,19,26,15
K0_incid,19,27,15
K0_incid,19,28,15
K0_incid,19,29,15
K0_incid,19,30,15
K0_incid,19,31,15
K0_incid,19,32,15
K0_incid,19,33,15
K0_incid,19,34,15
K0_incid,19,35,15
K0_incid,19,36,15
K0_incid,19,37,15
K0_incid,19,38,14
K0_incid,19,39,14
K0_incid,19,40,14
K0_incid,19,41,14
K0_incid,19,42,14
K0_incid,19,43,14
K0_incid,19,44,14
K0_incid,19,45,14
K0_incid,19,46,14
K0_incid,19,47,14
K0_incid,19,48,14
K0_incid,19,49,14
K0_incid,19,50,14
K0_incid,19,51,14
K0_incid,19,52,14
K0_incid,19,53,14
K0_incid,19,54,14
K0_incid,19,55,14
K0_incid,19,56,14
K0_incid,19,57,14
K0_incid,19,58,14
K0_incid,19,59,14
K0_incid,19,60,14
K0_incid,20,1,150
K0_incid,20,2,230
K0_incid,20,3,142
K0_incid,20,4,83
K0_incid,20,5,54
K0_incid,20,6,41
K0_incid,20,7,35
K0_incid,20,8,29
K0_incid,20,9,25
K0_incid,20,10,22
K0_incid,20,11,23
K0_incid,20,12,22
K0_incid,20,13,21
K0_incid,20,14,21
K0_incid,20,15,20
K0_incid,20,16,18
K0_incid,20,17,18
K0_incid,20,18,17
K0_incid,20,19,17
K0_incid,20,20,16
