folder,image,initial_radius,delta_radius,auto_withborder,auto_noborder
K0_incid,9,25,2,14,14
K0_incid,9,25,4,13,13
K0_incid,9,25,6,13,13
K0_incid,9,25,8,13,13
K0_incid,9,25,10,14,14
K0_incid,9,25,12,13,13
K0_incid,9,25,14,13,13
K0_incid,9,25,16,13,13
K0_incid,9,25,18,13,13
K0_incid,9,25,20,13,13
K0_incid,9,30,2,16,16
K0_incid,9,30,4,15,15
K0_incid,9,30,6,14,14
K0_incid,9,30,8,15,15
K0_incid,9,30,10,13,13
K0_incid,9,30,12,13,13
K0_incid,9,30,14,13,13
K0_incid,9,30,16,13,13
K0_incid,9,30,18,13,13
K0_incid,9,30,20,13,13
K0_incid,9,35,2,13,13
K0_incid,9,35,4,13,13
K0_incid,9,35,6,13,13
K0_incid,9,35,8,13,13
K0_incid,9,35,10,13,13
K0_incid,9,35,12,13,13
K0_incid,9,35,14,13,13
K0_incid,9,35,16,13,13
K0_incid,9,35,18,13,13
K0_incid,9,35,20,13,13
K0_incid,9,40,2,1,1
K0_incid,9,40,4,1,1
K0_incid,9,40,6,1,1
K0_incid,9,40,8,1,1
K0_incid,9,40,10,1,1
K0_incid,9,40,12,1,1
K0_incid,9,40,14,1,1
K0_incid,9,40,16,1,1
K0_incid,9,40,18,1,1
K0_incid,9,40,20,1,1
K0_incid,10,5,2,20,12
K0_incid,10,5,4,18,12
K0_incid,10,5,6,18,12
K0_incid,10,5,8,18,12
K0_incid,10,5,10,18,12
K0_incid,10,5,12,17,12
K0_incid,10,5,14,17,12
K0_incid,10,5,16,17,12
K0_incid,10,5,18,17,12
K0_incid,10,5,20,17,12
K0_incid,10,10,2,16,12
K0_incid,10,10,4,15,12
K0_incid,10,10,6,14,12
K0_incid,10,10,8,14,12
K0_incid,10,10,10,14,12
K0_incid,10,10,12,14,12
K0_incid,10,10,14,14,12
K0_incid,10,10,16,14,12
K0_incid,10,10,18,14,12
K0_incid,10,10,20,14,12
K0_incid,10,15,2,15,12
K0_incid,10,15,4,15,12
K0_incid,10,15,6,15,12
K0_incid,10,15,8,15,12
K0_incid,10,15,10,15,12
K0_incid,10,15,12,15,12
K0_incid,10,15,14,15,12
K0_incid,10,15,16,15,12
K0_incid,10,15,18,15,12
K0_incid,10,15,20,15,12
K0_incid,10,20,2,12,12
K0_incid,10,20,4,12,12
K0_incid,10,20,6,12,12
K0_incid,10,20,8,12,12
K0_incid,10,20,10,12,12
K0_incid,10,20,12,12,12
K0_incid,10,20,14,12,12
K0_incid,10,20,16,12,12
K0_incid,10,20,18,12,12
K0_incid,10,20,20,12,12
K0_incid,10,25,2,12,12
K0_incid,10,25,4,12,12
K0_incid,10,25,6,12,12
K0_incid,10,25,8,12,12
K0_incid,10,25,10,12,12
K0_incid,10,25,12,12,12
K0_incid,10,25,14,12,12
K0_incid,10,25,16,12,12
K0_incid,10,25,18,12,12
K0_incid,10,25,20,12,12
K0_incid,10,30,2,12,12
K0_incid,10,30,4,12,12
K0_incid,10,30,6,12,12
K0_incid,10,30,8,12,12
K0_incid,10,30,10,12,12
K0_incid,10,30,12,12,12
K0_incid,10,30,14,12,12
K0_incid,10,30,16,12,12
K0_incid,10,30,18,12,12
K0_incid,10,30,20,12,12
K0_incid,10,35,2,12,12
K0_incid,10,35,4,12,12
K0_incid,10,35,6,12,12
K0_incid,10,35,8,12,12
K0_incid,10,35,10,12,12
K0_incid,10,35,12,12,12
K0_incid,10,35,14,12,12
K0_incid,10,35,16,12,12
K0_incid,10,35,18,12,12
K0_incid,10,35,20,12,12
K0_incid,10,40,2,0,0
K0_incid,10,40,4,0,0
K0_incid,10,40,6,0,0
K0_incid,10,40,8,0,0
K0_incid,10,40,10,0,0
K0_incid,10,40,12,0,0
K0_incid,10,40,14,0,0
K0_incid,10,40,16,0,0
K0_incid,10,40,18,0,0
K0_incid,10,40,20,0,0
K0_incid,11,5,2,22,15
K0_incid,11,5,4,21,14
K0_incid,11,5,6,21,15
K0_incid,11,5,8,19,13
K0_incid,11,5,10,20,15
K0_incid,11,5,12,19,13
K0_incid,11,5,14,20,14
K0_incid,11,5,16,19,13
K0_incid,11,5,18,18,13
K0_incid,11,5,20,18,13
K0_incid,11,10,2,30,18
K0_incid,11,10,4,23,15
K0_incid,11,10,6,24,14
K0_incid,11,10,8,19,14
K0_incid,11,10,10,21,16
K0_incid,11,10,12,20,14
K0_incid,11,10,14,17,13
K0_incid,11,10,16,17,13
K0_incid,11,10,18,17,13
K0_incid,11,10,20,20,16
K0_incid,11,15,2,21,15
K0_incid,11,15,4,20,15
K0_incid,11,15,6,19,14
K0_incid,11,15,8,18,14
K0_incid,11,15,10,19,15
K0_incid,11,15,12,17,13
K0_incid,11,15,14,17,13
K0_incid,11,15,16,18,14
K0_incid,11,15,18,18,14
K0_incid,11,15,20,19,15
K0_incid,11,20,2,23,18
K0_incid,11,20,4,20,16
K0_incid,11,20,6,18,14
K0_incid,11,20,8,19,15
K0_incid,11,20,10,20,16
K0_incid,11,20,12,18,14
K0_incid,11,20,14,18,14
K0_incid,11,20,16,19,15
K0_incid,11,20,18,17,13
K0_incid,11,20,20,17,13
K0_incid,11,25,2,17,15
K0_incid,11,25,4,16,14
K0_incid,11,25,6,16,14
K0_incid,11,25,8,16,14
K0_incid,11,25,10,17,15
K0_incid,11,25,12,15,13
K0_incid,11,25,14,15,13
K0_incid,11,25,16,15,13
K0_incid,11,25,18,15,13
K0_incid,11,25,20,15,13
K0_incid,11,30,2,20,18
K0_incid,11,30,4,17,15
K0_incid,11,30,6,20,18
K0_incid,11,30,8,18,16
K0_incid,11,30,10,18,16
K0_incid,11,30,12,18,16
K0_incid,11,30,14,18,16
K0_incid,11,30,16,18,16
K0_incid,11,30,18,18,16
K0_incid,11,30,20,18,16
K0_incid,11,35,2,13,11
K0_incid,11,35,4,13,11
K0_incid,11,35,6,13,11
