folder,image,initial_radius,delta_radius,auto_count
K0_incid,10,25,18,12
K0_incid,10,25,20,12
K0_incid,10,30,2,12
K0_incid,10,30,4,12
K0_incid,10,30,6,12
K0_incid,10,30,8,12
K0_incid,10,30,10,12
K0_incid,10,30,12,12
K0_incid,10,30,14,12
K0_incid,10,30,16,12
K0_incid,10,30,18,12
K0_incid,10,30,20,12
K0_incid,10,35,2,12
K0_incid,10,35,4,12
K0_incid,10,35,6,12
K0_incid,10,35,8,12
K0_incid,10,35,10,12
K0_incid,10,35,12,12
K0_incid,10,35,14,12
K0_incid,10,35,16,12
K0_incid,10,35,18,12
K0_incid,10,35,20,12
K0_incid,10,40,2,0
K0_incid,10,40,4,0
K0_incid,10,40,6,0
K0_incid,10,40,8,0
K0_incid,10,40,10,0
K0_incid,10,40,12,0
K0_incid,10,40,14,0
K0_incid,10,40,16,0
K0_incid,10,40,18,0
K0_incid,10,40,20,0
K0_incid,11,5,2,21
K0_incid,11,5,4,20
K0_incid,11,5,6,21
K0_incid,11,5,8,19
K0_incid,11,5,10,20
K0_incid,11,5,12,19
K0_incid,11,5,14,20
K0_incid,11,5,16,19
K0_incid,11,5,18,18
K0_incid,11,5,20,18
K0_incid,11,10,2,23
K0_incid,11,10,4,20
K0_incid,11,10,6,19
K0_incid,11,10,8,19
K0_incid,11,10,10,21
K0_incid,11,10,12,19
K0_incid,11,10,14,17
K0_incid,11,10,16,17
K0_incid,11,10,18,17
K0_incid,11,10,20,20
K0_incid,11,15,2,20
K0_incid,11,15,4,20
K0_incid,11,15,6,19
K0_incid,11,15,8,18
K0_incid,11,15,10,19
K0_incid,11,15,12,17
K0_incid,11,15,14,17
K0_incid,11,15,16,18
K0_incid,11,15,18,18
K0_incid,11,15,20,19
K0_incid,11,20,2,22
K0_incid,11,20,4,20
K0_incid,11,20,6,18
K0_incid,11,20,8,19
K0_incid,11,20,10,20
K0_incid,11,20,12,18
K0_incid,11,20,14,18
K0_incid,11,20,16,19
K0_incid,11,20,18,17
K0_incid,11,20,20,17
K0_incid,11,25,2,17
K0_incid,11,25,4,16
K0_incid,11,25,6,16
K0_incid,11,25,8,16
K0_incid,11,25,10,17
K0_incid,11,25,12,15
K0_incid,11,25,14,15
K0_incid,11,25,16,15
K0_incid,11,25,18,15
K0_incid,11,25,20,15
K0_incid,11,30,2,20
K0_incid,11,30,4,17
K0_incid,11,30,6,20
K0_incid,11,30,8,18
K0_incid,11,30,10,18
K0_incid,11,30,12,18
K0_incid,11,30,14,18
K0_incid,11,30,16,18
K0_incid,11,30,18,18
K0_incid,11,30,20,18
K0_incid,11,35,2,13
K0_incid,11,35,4,13
K0_incid,11,35,6,13
K0_incid,11,35,8,13
K0_incid,11,35,10,13
K0_incid,11,35,12,13
K0_incid,11,35,14,13
K0_incid,11,35,16,13
K0_incid,11,35,18,13
K0_incid,11,35,20,13
K0_incid,11,40,2,0
K0_incid,11,40,4,0
K0_incid,11,40,6,0
K0_incid,11,40,8,0
K0_incid,11,40,10,0
K0_incid,11,40,12,0
K0_incid,11,40,14,0
K0_incid,11,40,16,0
K0_incid,11,40,18,0
K0_incid,11,40,20,0
K0_incid,12,5,2,25
K0_incid,12,5,4,23
K0_incid,12,5,6,24
K0_incid,12,5,8,22
K0_incid,12,5,10,24
K0_incid,12,5,12,21
K0_incid,12,5,14,22
K0_incid,12,5,16,21
K0_incid,12,5,18,21
K0_incid,12,5,20,21
K0_incid,12,10,2,26
K0_incid,12,10,4,24
K0_incid,12,10,6,24
K0_incid,12,10,8,24
K0_incid,12,10,10,20
K0_incid,12,10,12,24
K0_incid,12,10,14,20
K0_incid,12,10,16,20
K0_incid,12,10,18,20
K0_incid,12,10,20,20
K0_incid,12,15,2,23
K0_incid,12,15,4,23
K0_incid,12,15,6,20
K0_incid,12,15,8,20
K0_incid,12,15,10,22
K0_incid,12,15,12,19
K0_incid,12,15,14,19
K0_incid,12,15,16,20
K0_incid,12,15,18,20
K0_incid,12,15,20,22
K0_incid,12,20,2,24
K0_incid,12,20,4,22
K0_incid,12,20,6,19
K0_incid,12,20,8,21
K0_incid,12,20,10,18
K0_incid,12,20,12,19
K0_incid,12,20,14,22
K0_incid,12,20,16,20
K0_incid,12,20,18,17
K0_incid,12,20,20,17
K0_incid,12,25,2,22
K0_incid,12,25,4,20
K0_incid,12,25,6,20
K0_incid,12,25,8,19
K0_incid,12,25,10,21
K0_incid,12,25,12,19
K0_incid,12,25,14,18
K0_incid,12,25,16,18
K0_incid,12,25,18,18
K0_incid,12,25,20,18
K0_incid,12,30,2,24
K0_incid,12,30,4,22
K0_incid,12,30,6,21
K0_incid,12,30,8,18
K0_incid,12,30,10,18
K0_incid,12,30,12,18
K0_incid,12,30,14,18
K0_incid,12,30,16,18
K0_incid,12,30,18,18
K0_incid,12,30,20,18
K0_incid,12,35,2,18
K0_incid,12,35,4,18
K0_incid,12,35,6,18
K0_incid,12,35,8,18
K0_incid,12,35,10,18
