Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
VVgGNj-PRVU,Vacinar é proteger: a importância da vacinação e os perigos da não imunização,no,,1499115844,00:09:25,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,12632,160,8,0.05,0,1,0,N,,Mijn baan in de praktijk; VEVA
JUIaeUQQ3oY,VACINA H1N1 NAO TOME  PESQUISE ANTES!.wmv,no,,1266467539,00:06:01,Carlos Iafelice Junior,UCkYT8YPzCP0bGJkO6RBeRuA,Education,12604,395,4,0.010127,0,,0,Y,O; N; G,
UOlQh8yFmUc,Vacinação - parte 02,no,,1517335167,00:13:26,DoutorMoises,UCW3l9WndLOjhRtsg0Aa--2g,Science & Technology,12482,469,16,0.034115,0,,0,N,,
YAvL5WThX6w,Vacina do sarampo: a mãe que perdeu 2 filhos por acreditar em  fake news,yes,13,1562608773,00:03:07,BBC News Brasil,UCthbIFAxbXTTQEC7EcQvP1Q,News & Politics,12104,998,39,0.039078,0,225,0,N,,
SRM7eLrTEEc,Duas mortes por reação à vacina,no,,1516401712,00:03:34,Jornal da Gazeta,UCNl_i-ggJbZNyOLlhE7yyhw,News & Politics,12054,154,10,0.064935,0,50,0,N,,Outriders; Mijn baan in de praktijk
q6P4BtDfUxw,Vacinar os filhos é obrigação | Andrea Rosana Silva | Cabine #16,no,,1535565606,00:03:33,Drauzio Varella,UC9zqTTVeClpqMQ5CLuJdWtw,Science & Technology,11975,1635,40,0.024465,0,114,0,N,,Sandaya; Nationale Vacaturebank
oq_1yc85u38,Soro e Vacina - Brasil Escola,no,,1514311209,00:08:31,Brasil Escola,UCsgHWN8lYveMUEWTDheTjZA,Education,11451,601,7,0.011647,0,20,0,N,,
PW7xAm1carU,Como as vacinas são produzidas? - Todo Seu (06/04/18),no,,1523305358,00:05:37,Todo Seu,UCW4t6ozY9VDVeN_GHK260BQ,Entertainment,11132,216,17,0.078704,0,14,0,N,,
wPnjgdjT5n4,Gripe: Alergia a Ovo X Vacinas | Dra Ana Escobar,no,,1461876778,00:00:54,Dra Ana Escobar,UCKtJs_zI1yzswHDWqkqHtWw,Education,10983,90,3,0.033333,0,15,0,N,,
3N4zpKDTMIU,Ministério da Saúde esclarece boatos sobre microcefalia - Vacinas,no,,1449858663,00:01:28,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,10875,26,19,0.730769,0,19,0,N,,
SmMt2pXgnto,O MITO E O PERIGO DO MOVIMENTO ANTIVACINA | Natalia Pasternak,no,,1573736942,00:11:27,Casa do Saber,UCtvvTFp0XANyllOdmzZr9VQ,Education,10811,1885,43,0.022812,0,289,0,N,,
P-8N4JfC4xg,Vacinação contra a febre amarela | Drauzio News #28,no,,1559138409,00:02:37,Drauzio Varella,UC9zqTTVeClpqMQ5CLuJdWtw,Science & Technology,10603,1367,9,0.006584,0,38,0,N,,MasterClass
f5DoMoPwPKw,A polêmica das vacinas contra o vírus HPV | H1N1 | Guillan barré e Zica Virus,no,,1451581074,00:08:16,Ezequiel Cordeiro - Hora Final,UCl4swlkSKDinuw5w5S77m8A,People & Blogs,10553,243,12,0.049383,0,50,0,Y,A; D; M; N; J; H,
FOrZXG-6DG4,Que movimento é esse ANTIVACINA?,no,,1534254720,00:02:47,Canal Futura,UC2mmP8ysfyko40KSn90x6Og,Education,10416,567,36,0.063492,0,374,0,N,,
9VAEqQNcRcA,A NOVA REVOLTA DA VACINA - VACINAS NÃO MATAM  OLAVO MENTIU,yes,33,1543958100,00:11:56,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,People & Blogs,10329,1794,133,0.074136,0,227,0,N,,Alex Dusseldorf Coaching; DAZN; Alex Dusseldorf Coaching; 90s Super Show; Get green juice; Code Institute
